year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,FALSE,6745485,12421353,20210113,NA,DEMOCRAT
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,5509826,12421353,20210113,NA,REPUBLICAN
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,FALSE,50165,12421353,20210113,NA,LIBERTARIAN
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"COBB, DAVID",GREEN,FALSE,40771,12421353,20210113,NA,OTHER
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PELTIER, LEONARD",PEACE & FREEDOM,FALSE,27607,12421353,20210113,NA,OTHER
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PEROUTKA, MICHAEL",AMERICAN INDEPENDENT PARTY,FALSE,26645,12421353,20210113,NA,OTHER
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,OTHER,,TRUE,20854,12421353,20210113,NA,OTHER
2004,FLORIDA,FL,12,59,43,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,3964522,7609810,20210113,NA,REPUBLICAN
2004,FLORIDA,FL,12,59,43,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,FALSE,3583544,7609810,20210113,NA,DEMOCRAT
2004,FLORIDA,FL,12,59,43,US PRESIDENT,"NADER, RALPH",REFORM PARTY,FALSE,32971,7609810,20210113,NA,OTHER
2004,FLORIDA,FL,12,59,43,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,FALSE,11996,7609810,20210113,NA,LIBERTARIAN
2004,FLORIDA,FL,12,59,43,US PRESIDENT,"PEROUTKA, MICHAEL",CONSTITUTION PARTY OF FLORIDA,FALSE,6626,7609810,20210113,NA,OTHER
2004,FLORIDA,FL,12,59,43,US PRESIDENT,"COBB, DAVID",GREEN,FALSE,3917,7609810,20210113,NA,OTHER
2004,FLORIDA,FL,12,59,43,US PRESIDENT,"BROWN, WALT",SOCIALIST PARTY OF FLORIDA,FALSE,3502,7609810,20210113,NA,OTHER
2004,FLORIDA,FL,12,59,43,US PRESIDENT,"CALERO, ROGER",SOCIALIST WORKERS,FALSE,2732,7609810,20210113,NA,OTHER
2004,ILLINOIS,IL,17,33,21,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,FALSE,2891550,5274322,20210113,NA,DEMOCRAT
2004,ILLINOIS,IL,17,33,21,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,2345946,5274322,20210113,NA,REPUBLICAN
