state,county,candidate,party,total_votes,won
Florida,Alachua County,Joe Biden,DEM,89704,TRUE
Florida,Baker County,Donald Trump,REP,11911,TRUE
Florida,Bay County,Donald Trump,REP,66097,TRUE
Florida,Bradford County,Donald Trump,REP,10334,TRUE
Florida,Brevard County,Donald Trump,REP,207883,TRUE
Florida,Broward County,Joe Biden,DEM,618752,TRUE
Florida,Calhoun County,Donald Trump,REP,5274,TRUE
Florida,Charlotte County,Donald Trump,REP,73243,TRUE
Florida,Citrus County,Donald Trump,REP,65352,TRUE
Florida,Clay County,Donald Trump,REP,84480,TRUE
Florida,Collier County,Donald Trump,REP,128950,TRUE
Florida,Columbia County,Donald Trump,REP,23836,TRUE
Florida,DeSoto County,Donald Trump,REP,8313,TRUE
Florida,Dixie County,Donald Trump,REP,6759,TRUE
Florida,Duval County,Joe Biden,DEM,252556,TRUE
Florida,Escambia County,Donald Trump,REP,96674,TRUE
Florida,Flagler County,Donald Trump,REP,43043,TRUE
Florida,Franklin County,Donald Trump,REP,4675,TRUE
Florida,Gadsden County,Joe Biden,DEM,16153,TRUE
Florida,Gilchrist County,Donald Trump,REP,7895,TRUE
Florida,Glades County,Donald Trump,REP,3782,TRUE
Florida,Gulf County,Donald Trump,REP,6113,TRUE
Florida,Hamilton County,Donald Trump,REP,3815,TRUE
Florida,Hardee County,Donald Trump,REP,6122,TRUE
Florida,Hendry County,Donald Trump,REP,7906,TRUE
Florida,Hernando County,Donald Trump,REP,70412,TRUE
Florida,Highlands County,Donald Trump,REP,34873,TRUE
Florida,Hillsborough County,Joe Biden,DEM,376367,TRUE
Florida,Holmes County,Donald Trump,REP,8080,TRUE
Florida,Indian River County,Donald Trump,REP,58872,TRUE
Florida,Jackson County,Donald Trump,REP,15488,TRUE
Florida,Jefferson County,Donald Trump,REP,4479,TRUE
Florida,Lafayette County,Donald Trump,REP,3128,TRUE
Florida,Lake County,Donald Trump,REP,125859,TRUE
Florida,Lee County,Donald Trump,REP,233247,TRUE
Florida,Leon County,Joe Biden,DEM,103517,TRUE
Florida,Levy County,Donald Trump,REP,16749,TRUE
Florida,Liberty County,Donald Trump,REP,2846,TRUE
Florida,Madison County,Donald Trump,REP,5576,TRUE
Florida,Manatee County,Donald Trump,REP,124987,TRUE
Florida,Marion County,Donald Trump,REP,127826,TRUE
Florida,Martin County,Donald Trump,REP,61168,TRUE
Florida,Miami-Dade County,Joe Biden,DEM,617864,TRUE
Florida,Monroe County,Donald Trump,REP,25693,TRUE
Florida,Nassau County,Donald Trump,REP,42566,TRUE
Florida,Okaloosa County,Donald Trump,REP,79798,TRUE
Florida,Okeechobee County,Donald Trump,REP,11470,TRUE
Florida,Orange County,Joe Biden,DEM,395014,TRUE
Florida,Osceola County,Joe Biden,DEM,97297,TRUE
Florida,Palm Beach County,Joe Biden,DEM,433572,TRUE
Florida,Pasco County,Donald Trump,REP,179621,TRUE
Florida,Pinellas County,Joe Biden,DEM,277450,TRUE
Florida,Polk County,Donald Trump,REP,194586,TRUE
Florida,Putnam County,Donald Trump,REP,25514,TRUE
Florida,St. Johns County,Donald Trump,REP,110946,TRUE
Florida,St. Lucie County,Donald Trump,REP,86831,TRUE
Florida,Santa Rosa County,Donald Trump,REP,77385,TRUE
Florida,Sarasota County,Donald Trump,REP,148370,TRUE
Florida,Seminole County,Joe Biden,DEM,132528,TRUE
Florida,Sumter County,Donald Trump,REP,62761,TRUE
Florida,Suwannee County,Donald Trump,REP,16410,TRUE
Florida,Taylor County,Donald Trump,REP,7751,TRUE
Florida,Union County,Donald Trump,REP,5133,TRUE
Florida,Volusia County,Donald Trump,REP,173821,TRUE
Florida,Wakulla County,Donald Trump,REP,12874,TRUE
Florida,Walton County,Donald Trump,REP,32947,TRUE
Florida,Washington County,Donald Trump,REP,9876,TRUE
Illinois,Adams County,Donald Trump,REP,24220,TRUE
Illinois,Alexander County,Donald Trump,REP,1486,TRUE
Illinois,Bond County,Donald Trump,REP,5625,TRUE
Illinois,Boone County,Donald Trump,REP,13883,TRUE
Illinois,Brown County,Donald Trump,REP,1931,TRUE
Illinois,Bureau County,Donald Trump,REP,10411,TRUE
Illinois,Calhoun County,Donald Trump,REP,2046,TRUE
Illinois,Carroll County,Donald Trump,REP,5105,TRUE
Illinois,Cass County,Donald Trump,REP,3625,TRUE
Illinois,Champaign County,Joe Biden,DEM,57067,TRUE
Illinois,Christian County,Donald Trump,REP,11563,TRUE
Illinois,Clark County,Donald Trump,REP,6226,TRUE
Illinois,Clay County,Donald Trump,REP,5629,TRUE
Illinois,Clinton County,Donald Trump,REP,14304,TRUE
Illinois,Coles County,Donald Trump,REP,14037,TRUE
Illinois,Cook County,Joe Biden,DEM,1725973,TRUE
Illinois,Crawford County,Donald Trump,REP,7043,TRUE
Illinois,Cumberland County,Donald Trump,REP,4601,TRUE
Illinois,DeKalb County,Joe Biden,DEM,24643,TRUE
Illinois,De Witt County,Donald Trump,REP,5632,TRUE
Illinois,Douglas County,Donald Trump,REP,6227,TRUE
Illinois,DuPage County,Joe Biden,DEM,281222,TRUE
Illinois,Edgar County,Donald Trump,REP,6193,TRUE
Illinois,Edwards County,Donald Trump,REP,2833,TRUE
Illinois,Effingham County,Donald Trump,REP,15006,TRUE
Illinois,Fayette County,Donald Trump,REP,8055,TRUE
Illinois,Ford County,Donald Trump,REP,5048,TRUE
Illinois,Franklin County,Donald Trump,REP,13622,TRUE
Illinois,Fulton County,Donald Trump,REP,9867,TRUE
Illinois,Gallatin County,Donald Trump,REP,2019,TRUE
Illinois,Greene County,Donald Trump,REP,4770,TRUE
Illinois,Grundy County,Donald Trump,REP,16523,TRUE
Illinois,Hamilton County,Donald Trump,REP,3432,TRUE
Illinois,Hancock County,Donald Trump,REP,6906,TRUE
Illinois,Hardin County,Donald Trump,REP,1691,TRUE
Illinois,Henderson County,Donald Trump,REP,2394,TRUE
