year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2004,CALIFORNIA,CA,ALAMEDA,6001,US PRESIDENT,JOHN KERRY,DEMOCRAT,422585,560742,20220315,TOTAL
2004,CALIFORNIA,CA,ALAMEDA,6001,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,130911,560742,20220315,TOTAL
2004,CALIFORNIA,CA,ALAMEDA,6001,US PRESIDENT,OTHER,OTHER,7246,560742,20220315,TOTAL
2004,CALIFORNIA,CA,ALPINE,6003,US PRESIDENT,JOHN KERRY,DEMOCRAT,373,699,20220315,TOTAL
2004,CALIFORNIA,CA,ALPINE,6003,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,311,699,20220315,TOTAL
2004,CALIFORNIA,CA,ALPINE,6003,US PRESIDENT,OTHER,OTHER,15,699,20220315,TOTAL
2004,CALIFORNIA,CA,AMADOR,6005,US PRESIDENT,JOHN KERRY,DEMOCRAT,6211,16879,20220315,TOTAL
2004,CALIFORNIA,CA,AMADOR,6005,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10479,16879,20220315,TOTAL
2004,CALIFORNIA,CA,AMADOR,6005,US PRESIDENT,OTHER,OTHER,189,16879,20220315,TOTAL
2004,CALIFORNIA,CA,BUTTE,6007,US PRESIDENT,JOHN KERRY,DEMOCRAT,42448,95735,20220315,TOTAL
2004,CALIFORNIA,CA,BUTTE,6007,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,51662,95735,20220315,TOTAL
2004,CALIFORNIA,CA,BUTTE,6007,US PRESIDENT,OTHER,OTHER,1625,95735,20220315,TOTAL
2004,CALIFORNIA,CA,CALAVERAS,6009,US PRESIDENT,JOHN KERRY,DEMOCRAT,8286,22306,20220315,TOTAL
2004,CALIFORNIA,CA,CALAVERAS,6009,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13601,22306,20220315,TOTAL
2004,CALIFORNIA,CA,CALAVERAS,6009,US PRESIDENT,OTHER,OTHER,419,22306,20220315,TOTAL
2004,CALIFORNIA,CA,COLUSA,6011,US PRESIDENT,JOHN KERRY,DEMOCRAT,1947,6166,20220315,TOTAL
2004,CALIFORNIA,CA,COLUSA,6011,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4142,6166,20220315,TOTAL
2004,CALIFORNIA,CA,COLUSA,6011,US PRESIDENT,OTHER,OTHER,77,6166,20220315,TOTAL
2004,CALIFORNIA,CA,CONTRA COSTA,6013,US PRESIDENT,JOHN KERRY,DEMOCRAT,257254,412139,20220315,TOTAL
2004,CALIFORNIA,CA,CONTRA COSTA,6013,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,150608,412139,20220315,TOTAL
2004,CALIFORNIA,CA,CONTRA COSTA,6013,US PRESIDENT,OTHER,OTHER,4277,412139,20220315,TOTAL
2004,CALIFORNIA,CA,DEL NORTE,6015,US PRESIDENT,JOHN KERRY,DEMOCRAT,3892,9421,20220315,TOTAL
2004,CALIFORNIA,CA,DEL NORTE,6015,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5356,9421,20220315,TOTAL
