state,total_votes,candidate
Delaware,504010,Joe Biden
District of Columbia,344356,Joe Biden
Florida,11067456,Donald Trump
Georgia,4997716,Joe Biden
Hawaii,574469,Joe Biden
Idaho,868106,Donald Trump
Illinois,6038843,Joe Biden
Indiana,3033198,Donald Trump
Iowa,1690871,Donald Trump
Kansas,1375304,Donald Trump
Kentucky,2136768,Donald Trump
Louisiana,2148062,Donald Trump
Maine,819461,Joe Biden
Maryland,3037030,Joe Biden
Massachusetts,3631402,Joe Biden
Michigan,5539302,Joe Biden
Minnesota,3277171,Joe Biden
Mississippi,1315182,Donald Trump
Missouri,3025962,Donald Trump
Montana,605750,Donald Trump
Nebraska,956379,Donald Trump
Nevada,1405376,Joe Biden
New Hampshire,804430,Joe Biden
New Jersey,4564234,Joe Biden
New Mexico,923965,Joe Biden
New York,8613546,Joe Biden
North Carolina,5524801,Donald Trump
North Dakota,361819,Donald Trump
Ohio,5922202,Donald Trump
Oklahoma,1560699,Donald Trump
Oregon,2374321,Joe Biden
Pennsylvania,6925255,Joe Biden
Rhode Island,517757,Joe Biden
South Carolina,2513329,Donald Trump
South Dakota,422609,Donald Trump
Tennessee,3054534,Donald Trump
Texas,11317911,Donald Trump
Utah,1488289,Donald Trump
Vermont,367428,Joe Biden
Virginia,4460524,Joe Biden
Washington,4087631,Joe Biden
West Virginia,794652,Donald Trump
Wisconsin,3297352,Joe Biden
Wyoming,276765,Donald Trump
Alabama,2323304,Donald Trump
Alaska,359530,Joe Biden
Arkansas,1219069,Donald Trump
California,17495906,Joe Biden
Colorado,3256953,Joe Biden
Connecticut,1824280,Joe Biden
United States,158432595,Joe Biden
Arizona,1824280,Joe Biden
