state,county,candidate,party,total_votes,won
Delaware,Kent County,Joe Biden,DEM,44552,TRUE
Delaware,New Castle County,Joe Biden,DEM,195034,TRUE
Delaware,Sussex County,Donald Trump,REP,71230,TRUE
District of Columbia,District of Columbia,Joe Biden,DEM,39041,TRUE
District of Columbia,Ward 2,Joe Biden,DEM,29078,TRUE
District of Columbia,Ward 3,Joe Biden,DEM,39397,TRUE
District of Columbia,Ward 4,Joe Biden,DEM,42489,TRUE
District of Columbia,Ward 5,Joe Biden,DEM,43320,TRUE
District of Columbia,Ward 6,Joe Biden,DEM,56719,TRUE
District of Columbia,Ward 7,Joe Biden,DEM,36382,TRUE
District of Columbia,Ward 8,Joe Biden,DEM,30897,TRUE
Florida,Alachua County,Joe Biden,DEM,89704,TRUE
Florida,Baker County,Donald Trump,REP,11911,TRUE
Florida,Bay County,Donald Trump,REP,66097,TRUE
Florida,Bradford County,Donald Trump,REP,10334,TRUE
Florida,Brevard County,Donald Trump,REP,207883,TRUE
Florida,Broward County,Joe Biden,DEM,618752,TRUE
Florida,Calhoun County,Donald Trump,REP,5274,TRUE
Florida,Charlotte County,Donald Trump,REP,73243,TRUE
Florida,Citrus County,Donald Trump,REP,65352,TRUE
Florida,Clay County,Donald Trump,REP,84480,TRUE
Florida,Collier County,Donald Trump,REP,128950,TRUE
Florida,Columbia County,Donald Trump,REP,23836,TRUE
Florida,DeSoto County,Donald Trump,REP,8313,TRUE
Florida,Dixie County,Donald Trump,REP,6759,TRUE
Florida,Duval County,Joe Biden,DEM,252556,TRUE
Florida,Escambia County,Donald Trump,REP,96674,TRUE
Florida,Flagler County,Donald Trump,REP,43043,TRUE
Florida,Franklin County,Donald Trump,REP,4675,TRUE
Florida,Gadsden County,Joe Biden,DEM,16153,TRUE
Florida,Gilchrist County,Donald Trump,REP,7895,TRUE
Florida,Glades County,Donald Trump,REP,3782,TRUE
Florida,Gulf County,Donald Trump,REP,6113,TRUE
Florida,Hamilton County,Donald Trump,REP,3815,TRUE
Florida,Hardee County,Donald Trump,REP,6122,TRUE
Florida,Hendry County,Donald Trump,REP,7906,TRUE
Florida,Hernando County,Donald Trump,REP,70412,TRUE
Florida,Highlands County,Donald Trump,REP,34873,TRUE
Florida,Hillsborough County,Joe Biden,DEM,376367,TRUE
Florida,Holmes County,Donald Trump,REP,8080,TRUE
Florida,Indian River County,Donald Trump,REP,58872,TRUE
Florida,Jackson County,Donald Trump,REP,15488,TRUE
Florida,Jefferson County,Donald Trump,REP,4479,TRUE
Florida,Lafayette County,Donald Trump,REP,3128,TRUE
Florida,Lake County,Donald Trump,REP,125859,TRUE
Florida,Lee County,Donald Trump,REP,233247,TRUE
Florida,Leon County,Joe Biden,DEM,103517,TRUE
Florida,Levy County,Donald Trump,REP,16749,TRUE
Florida,Liberty County,Donald Trump,REP,2846,TRUE
Florida,Madison County,Donald Trump,REP,5576,TRUE
Florida,Manatee County,Donald Trump,REP,124987,TRUE
Florida,Marion County,Donald Trump,REP,127826,TRUE
Florida,Martin County,Donald Trump,REP,61168,TRUE
Florida,Miami-Dade County,Joe Biden,DEM,617864,TRUE
Florida,Monroe County,Donald Trump,REP,25693,TRUE
Florida,Nassau County,Donald Trump,REP,42566,TRUE
Florida,Okaloosa County,Donald Trump,REP,79798,TRUE
Florida,Okeechobee County,Donald Trump,REP,11470,TRUE
Florida,Orange County,Joe Biden,DEM,395014,TRUE
Florida,Osceola County,Joe Biden,DEM,97297,TRUE
Florida,Palm Beach County,Joe Biden,DEM,433572,TRUE
